Company,Job Title,Location,Actively Recruiting Indicator,LI Job Post URL
Lektik,Python Developer,"Kochi, Kerala, India (On-site)",Actively recruiting,https://www.linkedin.com/jobs/view/3830945855/?eBP=CwEAAAGN_qj2Sf8Da62Zmm8S-nG7aQiHtDdNMV7UpdV-b_KZOH_tQJCWdaVs4nfXZ0Sn0gszuITJXPWlL4d8HYK2s0KkLFiukvKIibs1FkBWUD11Pe6Ws5OshnurHPnfsVfjQsmqvito6ePNPfhAxvHfq5Okng-mbZmsn5YfPIDxkJKpMAP103DrbnrdBAPejBZ-LFu4-r03bH4pITgD-VsmW_MdkXsLBzMEctvPQRJTH9cHbkNaq-FhYOcBsZAKyNZxZDjEKgUQH8DKgo5Bpo8xHG2WEPZWl6-_043x9H8eVSc6wlVsAe2r8Xyk9JHGAPpNbXMIkF3pH-EFtDv6E83CZIhmVal989M8l2PGzetFuOt_CxYYQdFg&refId=AZR70YcWU4RIa7t2rP6DVA%3D%3D&trackingId=O%2BLyxznFKnq9I%2FB2SlKGyg%3D%3D&trk=flagship3_search_srp_jobs
IQVIA,Python Developer,"Bengaluru, Karnataka, India (Hybrid)",2 school alumni work here,https://www.linkedin.com/jobs/view/3827297585/?eBP=CwEAAAGN_qj2SSO7sWMTJGc7I7FNHx8WNyJkLWXDUE1J_O9deVJwXQHAxtx4LrfxrX6o-ZXxSLqFJDdgwPmv6uuVgbyL7sqblZmOyeIR13ywkxj2joeTAHQzQ5zCjn2jO1UT0O_05W00N50XA1sVSRA3t2nwSez-df-jpUZKO8fCHGqnKN9i_hsoMZ34xkGEFTcN6IHUbj9nx_dYk4mFppEH0LevBXGkuZ6HoOMqwwtOTwx0dpMTJyXgBqpnHB5e1w9ZK8pUukBldyvKdWpzFBlvXTgiIB7XBiPuRrX3xXjKRluW9ByXKOwppUF4HO4kbmqXOetPalvb1UPdI0wVR07t8_Ra_-sEA_L7qomq97unlrVLKrYyTiOc&refId=AZR70YcWU4RIa7t2rP6DVA%3D%3D&trackingId=eUCqPL11cmRVP2BqQ6D8Mg%3D%3D&trk=flagship3_search_srp_jobs
Alteryx,Python Developer,"Bengaluru, Karnataka, India",1 school alum works here,https://www.linkedin.com/jobs/view/3775204614/?eBP=CwEAAAGN_qj2SRnMFB9H6nKA69lwnOlH47qLnIXYCBayuF0zVbp9DymVWDnAyprJbCVSBMZVomvSuTXYQMom_ZngYdCgmZiSjsSHwSrzvBNRBDwtC12EVYc11e4MDHsPbZ78uuDQpffGawEf9XD-RMRhrihx2029ctuwX9DmOEcK_2Re_XhSCg_CmVT0GswaQlLxGtQNhSPT3n5dNkITTsCXjiwJAEvOJEfQ40ENGkrsJEqwuRoBgBukDSRPDIBQSgiqR6t_0kg8eRVUTfZ-QIkr9kkyr5mw-5SDCwgeHadDBavGpCOezqLTkuwkW3HCl2XONe8r13909xHoEWfPD0ktVUUDOOy9ZQ1E02FoWpjgzLNgUvPId3DE7GeblMTayd-Qp-o7ptaSIQRDUAvVkQl2hFgcGJ4tb8s&refId=AZR70YcWU4RIa7t2rP6DVA%3D%3D&trackingId=5jnYhJoGXW%2B8SjDs4xxg2g%3D%3D&trk=flagship3_search_srp_jobs
Blenheim Chalcot India,Python Developer - Koodoo,"Mumbai, Maharashtra, India (On-site)",Actively recruiting,https://www.linkedin.com/jobs/view/3798523464/?eBP=CwEAAAGN_qj2SjmV8wePYhnjmXn35AsWKIKSmA_HUc-ZB4phlgLHRJMu_7G23IA1ZY79w9Dxi2OSshysSbNug9Rp3G_6vqec-0Mbm9-geq0b6gv4fd2aUoJ-0_mASSkYzg_uTo5PHRpnZ3qDWiDCVPnJnTTc078KT-lwlSqUlvUPeHPgBlGjhe1DGZCjxH9HGPV5YHTM_jaSBPW3441rBEfzBdgwjGGUfu3xyeSiPryW1sT0fO15gDm_clu6BzFHp8DPdXZc-8dg5OlYpMuat_IKvEXZaXJn2gqLMPDqyFjknqnV-AL7Ms2dKXCO5rWdzV-9ePI6W1L23IO3p0HFUQ8dt8SVMToHKhyKD2OIgySlvX0f1p8mmPSdcaJBeFDv_RtABKR6YstCiAgs1ZFQzkjlNe0SyalA&refId=AZR70YcWU4RIa7t2rP6DVA%3D%3D&trackingId=ob3hqRufG3bRDHyz6Of6qQ%3D%3D&trk=flagship3_search_srp_jobs
Genpact,Python Developer,"Delhi, India (Hybrid)",6 school alumni work here,https://www.linkedin.com/jobs/view/3836860718/?eBP=CwEAAAGN_qj2Sp31gLSvXqdRiUAkcONWkMoURJbyFA4KQduGajBi1OaeFfDyMKvXlgQX-0RoAHCL_7LJhKeTX-dKkQA5cWL96zY2eIoyDCGZnjo0J4-D1AsgAL7KzLMyY8vrKG55RWftFBgiuMlQsNGR3HTELJJV5xAxqo4hZSBwgK8X-NGYje_X0CjxtIWFUtg6Ui4PdIjG5CMIiCrLV_XTGsqthjz-K-Q6tvE8zQWEarBSpj_W5VcvtZ39MSwLZlbxMCjWLxhxo3Qq7PXHho80UOmmm1USzPwlL2zoouSZ29jJ-B7YSQxqN_c-ws3kGlH03DgDioaFp7OKIGB4S1VQrVzsmOL5twdnFgAfX4nUqVtKmcBya2Gr&refId=AZR70YcWU4RIa7t2rP6DVA%3D%3D&trackingId=6BWuwwHEcUKFMtPBuG%2ByXw%3D%3D&trk=flagship3_search_srp_jobs
TVS Next,Python Developer,"Chennai, Tamil Nadu, India (On-site)",Actively recruiting,https://www.linkedin.com/jobs/view/3815240219/?eBP=CwEAAAGN_rMFJuAxaA-wmW_8v2-OBd-gLiKSxsM-XVg-YCwargRF9SaDvLGfkH_6fTfPYTKbIc9vt_Ser5WQI05aN5CMhf4etg662r6Z8ip3EjYMRRzOGUE33N7P2ZisJoP0YX835tICAuw4q02f7MkZGYPKU80zoIqZmgH-fgKUhA80XA_dBz4CRH7RrnIal6Ib9hOID5SThQTaNh7KuYsFLLcxh8ntyM0e0HktoWN3d1WSmyeVX7jbGshee_9QmE4E5jxO1I7eWtg4cIdp1w11EjsPSZlQk6zqnmH6pFPCdN_F-9Q6MgkAcDWocoz9mFfBwxj2lrxWg6L5EDLzhlnhm7ooAtES3AypDVwb-0wvS_hI935G5AYkUzx_0Tx-YCyzskLQS9Y8KwCk3ae8yD4zG-TH8w&refId=vYJQO8eQXlfkb0YBavOvuA%3D%3D&trackingId=gJDWQRr98wLxPrKE39pPNQ%3D%3D&trk=flagship3_search_srp_jobs
Tata Consultancy Services,Python Developer,"Bengaluru, Karnataka, India (On-site)",9 connections work here,https://www.linkedin.com/jobs/view/3827269973/?eBP=CwEAAAGN_rMFJkn5paZFcOHD4QX0SxMauMqriUV9MKWBo8RERj2Bj5aQGfmf1QH7eWtBSQiz7giG94nG_Ab8wd11NQWkbIrGkspKUDTzTjlcNRs7Hh7NX0zSNMaopyN-duJ7E9whiRhUx7RzlVWEsdSKwCckeUBNL-ehNaqbviI6MRFgkPxQphj5hJ5DFf4NVY7TZI4YIovoQqW3okf-fYleDtU_9_2qBTJzybb666CsUSzHyQiRGR8HeZdKozE3_3mcnHXC47mhepTpujnfKSPYrtbfwgYcUaD5qyzwTLrRQVlrUPHhblc4mmJz5AW9_kG2GLkd43O_VhqX1T2Iu9jaNcoEbddqtagEoOpU87red4qyewwLy893sOZXIKbaHu0hapMhGPEjlyCo4Kh3FsYulYKjeBcI&refId=vYJQO8eQXlfkb0YBavOvuA%3D%3D&trackingId=faBApBtFhpY0fhKtcWmSOw%3D%3D&trk=flagship3_search_srp_jobs
Turing,Python Developer,India (Remote),Actively recruiting,https://www.linkedin.com/jobs/view/3832595933/?eBP=CwEAAAGN_rMFJlRNv7pfaa37gGChzrh4SzoQR6CLh1cSA8EIvkxmOxnRdT1PcwZ4QnczDDx3lVQV7lZQHGC42HognA7uccXQt1xidwzHAts6zDx86f8knuPus_hxUQXbTsZfA05twsWxedNE2jjcRh9JwpVc3ZAM4hWZhRyQVW62RJh-gKdieSJJZl1Kiun9SJZKQLsr4-hWuH1vXZ9eg8PRx74I60m_XDr7DixuLsXJ7BteUv-kVo3yJt6Nqkjrx-NMJAqHxze3U2SBVj0sWnUUGCrpc9euQCDSm_6tivcZMSfjPLd43N-De2ws0vTXkKrrRh4aHCcCY4RPanEyJh82lyMU05__XNs9RgirhkI4_lWXBN2ovFP4Y6MoAxsibf8wPr2_SQ&refId=vYJQO8eQXlfkb0YBavOvuA%3D%3D&trackingId=e98OP6qdk7i8AhcnPWSjpw%3D%3D&trk=flagship3_search_srp_jobs
Turing,Python Developer,"Delhi, Delhi, India (Remote)",Actively recruiting,https://www.linkedin.com/jobs/view/3832803060/?eBP=CwEAAAGN_rMFJrrfsXIX020LRM9vAqDUL8eGEHJHEW6Ku0-gJDa7VIe9--jcZQLIPWxT5lD8fyt3wcpEnE_tkdTXY5KAXp97ruAd7TfjbTB5NfZd3xkHZW-wY32Y9hVFT0COcq3euNGI7LmmO9T2Mz39KOMXoU1C2KyzObL2fd0g0H20OyDkcA_XSDJFb1YuH8lKpk53cYmER2AzuoosG9ftfB1nffVIlKr91WFo89xVRrlyWEBiHE6rwe8reO9WXlgZ48F91GWs7EkyGEdHfRSYCLVgT5oIE2itWqsDJgVkNhiINO6hMykAINr1ca8RqaWaHTm9kdXU5kmk9CnFcbUrrfp4raoD695GXULCwV8UJGpfMwy4zdfiXOLYOXRj79ql35GRv2n-xR4&refId=vYJQO8eQXlfkb0YBavOvuA%3D%3D&trackingId=HQwiXCoeZEoLijs0SN8jzQ%3D%3D&trk=flagship3_search_srp_jobs
1E9 Advisors,Python Developer,"Pune, Maharashtra, India (On-site)",1 school alum works here,https://www.linkedin.com/jobs/view/3766653696/?eBP=CwEAAAGN_rMFJneWjuzkREUYBotFgs9R2VymXiBkQcnVnT0upwVITTvlcU6np6B8bfFZj7N23cgB_o2X452IgUzH-N55ujMhS04o_5rWxoZGwD2n0pQl1TXmrCwz_Q7VXvChK684ALkm9J22AVKhwZ7H2nQ3keGzr5LwdVg-BZJpoBlX1vegfKH6QpHluvPH3Iw2ZM7bWTwX5DnP2NxEPAlev4gya7D8GM_KWbjmK1clMYPd3r4ePJECN79O1M6PLRdUflm65HPuS32r0mBGjji1MHav7-XnMLvohMB7KmTQYoKjPpSXHXGRub7PNJTbonLIwjBkDDommNeaoUZphD9zmQrDxCPtZWrnb4ADC2PERswyIaygc061DEl1NFSA1lS1OFnlTili0xgSAG7NjuuQkELSPZol&refId=vYJQO8eQXlfkb0YBavOvuA%3D%3D&trackingId=U02MXnxrWV2vPEOiCIIEvg%3D%3D&trk=flagship3_search_srp_jobs
Genpact,Python Developer,"Noida, Uttar Pradesh, India (On-site)",6 school alumni work here,https://www.linkedin.com/jobs/view/3764248509/?eBP=CwEAAAGN_rMFJu79RFgd8KoKRITJVoOCyvdp7pK9ZnuqUkO2sfBujFc2hHYMNSNE3_Ya2TDOmUHL3brUcPBx57yMHGyT9jRLwXB86YK08DHP1y6UBPd7v9h5re4zN6fLe6w_xZp6tBA39MWEzhf2pTogHY2wFOHA13TFTUKwX4-qu0y3F7M0zBhInuOFkZNkP3rIqv6vdtM8XjhEscS85S16X7ppMYoMdjLjiYbIYeGxlFYm_xywwx0M5T2v7hVCom95tWpJM6hBrSi-uoz6inRKLjUCslePro4pTK-PdBOaYIzRT4Jec0cNUiH0tJVEeiUXTsxzjUgEHHy-h4EW8Hfp2OjVUhiyw-aZVyVOxeOo2Seq2uJeSj5u4YabOsJQ-6ngyUvmCKM6mNTzoAOWoxyCNL5PJQKf0lE&refId=vYJQO8eQXlfkb0YBavOvuA%3D%3D&trackingId=Tpo1yDqNwSxKBdkD5ztWsQ%3D%3D&trk=flagship3_search_srp_jobs
Turing,Python Developer,"Delhi, Delhi, India (Remote)",Actively recruiting,https://www.linkedin.com/jobs/view/3834672556/?eBP=CwEAAAGN_rMFJnIGhi2Zjz9ONFJYYulHYvWJK4uok9g3BYsKRj8EA21a6XOAWlLiQFLn5WmmVUE-Fig_k8xvoquici82T-CkWDaXGpqkLP3Kj6G0vWy6PDKhuw9hfMzEn5crJYdeybucXPMQ4p0Y2NSjGpe4DudJKFKUJw_bVwQKy9BreRKmWg8CH-4MxjPbkzqVOjdLpCozbK4b_SGb0px_-jux4hytTqYOfWPpxqKvQvmXRhxyYPRGBYZtdGbRZojHZv_K7WcYKuPv6IsTrZVXDFPUXb2yh3eONmUxsgeBnvOGQ1e9ZH3LcRE-YFHN9qDUxT0ry4yn5VW2YfFtNOV85znck4VhPiB2e-i2X0BDVmCG2N0l1Cx1c2JI9i3eytHIPxr313HcyvNhNLKCRx6o9ciViJT3ZU0&refId=vYJQO8eQXlfkb0YBavOvuA%3D%3D&trackingId=tn8W1g5YkNvjiLmsNw785A%3D%3D&trk=flagship3_search_srp_jobs
Tata Consultancy Services,Salesforce Conga CPQ Developer,"Kolkata, West Bengal, India (On-site)",9 connections work here,https://www.linkedin.com/jobs/view/3831228020/?eBP=CwEAAAGN_rUotd0LOwqXq5dY1Ob1_g9ALdf4Yx1kfGSXw8Lda0AzH39E6aq3P3H4kAKgcItez8UHuBPyGxQn_1qMhgRX-e04GxowcY0w8kIkyU0ZEIUryMOSRIp42YrtkaaPlumaI-2C1svlUPLVV25egydOguS3TtGBNHLmZupmIzGxD3yKdPH2SgSWR9n7P9vsV79q36y-23aOM4atOQ-FjeSV09OgGfmsC5Ri61VwwXVDddUe2UPqQjfQI0y095D1G-r3lt_1lRTH-s4gWs-8BN89FD2ZVEHS1FK4RY4YLebK3f-7bFOoSvytdyyG3hwmN3JvQC-S9CCD7GcAWIH0vFCew4H3WGIVBqAs2G39gGXx1mWPR0o2m1p-LgNxNAKgBjBCdrflBDF4Lk0T9lOzsjFVf0Bepbk&refId=MguAZT8HW1Im9IUaKSIy%2FQ%3D%3D&trackingId=GDB%2B2IIbQOIlTMRO4y2ecw%3D%3D&trk=flagship3_search_srp_jobs
Genpact,Assistant Manager – SharePoint Developer-LIF014672,"Bengaluru, Karnataka, India (On-site)",6 school alumni work here,https://www.linkedin.com/jobs/view/3805085838/?eBP=CwEAAAGN_rUotU_2n0tbCl-LbtjodtaNtrXhcjSPUMNEN93b5oZHx0XWet7rbW1Di0oEpMnSFdj6mXjdCTf95zi0rA4ldnkAWqVHfTSWGCaLb1lDX-4oMU_QUVPS5uCbVl2OdyvT_EQjBSjINYhqgG2jzsLRDU0h5QyoXtuq-f-zBC_5WVAhCfMLIoSGbo9N8cfMLDhxFzBhfEG3F_5aSXy8FZkE0T3-iTtVuLM_xF0UjcEEVnigjqNibKVooU8UZe_oppwRMDbS7BFOt9uzu2vR324LChioXlfTU4hW5SzKP-R2zQ24PmhhGm6AHskWKGtQ9FlVFBpg7cfR2PPsc1Fl6kig_pXbwOTpF5FYHuXvqZcgegoSIYXw3T7V1OrzOQHHvoh5HjaRCVy5IE6GfiDnL24SPuGx5ug&refId=MguAZT8HW1Im9IUaKSIy%2FQ%3D%3D&trackingId=%2F73zE6KRM0U8t84eI8j2lw%3D%3D&trk=flagship3_search_srp_jobs
Ansys,Technical Support Engineer II - Wordpress Developer,"Mulshi, Maharashtra, India (On-site)",Actively recruiting,https://www.linkedin.com/jobs/view/3790558079/?eBP=CwEAAAGN_rUotXvBfrFcdC4LDEzVCxHFjhxGF3vX_GZWc9q8RqSluwM8wyjpGA6eXNw0yfaj-GS8BXkTtiTWkl2dm9E1BNp4AK-GRr7Mmd_L_3hhWUISnQv_b3A88npJ07EDo2zJvmHfL4GwmElNMvDfh5BYZBvhBLq5CW6tLUXw-uOB_tksNtLFBKnEMrn9g_VkiI_uK-1l9OeunwMshjhuf3JA0A5aDyKzPlmHpmmKh_LVAgCEoHaagA3iB25VY-DwIVvbtu-YY-iu3A1Wwl55RkEllo7ptzqndCsXfYaVDnxpqx0YajNJ1yqYx4mU9B13amBr5EagzRzEH5d0EmUoBorJCS1Mi7W2YvikyfyLlBtKb2krS5U9i4q7E9CsSZHSemlL5iNfkiHbL0KmyDToIUSEnoq55TQ&refId=MguAZT8HW1Im9IUaKSIy%2FQ%3D%3D&trackingId=rzD5x02nk5JEigfRg57HDg%3D%3D&trk=flagship3_search_srp_jobs
Uplers,Web Developer,Pune/Pimpri-Chinchwad Area (Remote),1 school alum works here,https://www.linkedin.com/jobs/view/3842844751/?eBP=CwEAAAGN_rUotZwva4JpNFt5kgEdVdW4lWwZULttx0sXhuFr8i6fsCBlMoqGyKph_rxGxc0yyEHvZBitF8PFljdQHifk6pB9bRUbOUYjijp5jNgLljmXl6w7owFop2LJvaxPUjeXAHWIX2X5_eVd63t8-9gYay-2bYQUY6gAjsp7VbT2UohvqX_Y6EbW1IGc0oVsbTiX09LUaADB1i1DVp1p3AdEVY506xjsZvA7mK099CnugYNQP_lwL4ndRYJ9MymEF_MiRVj2LSmRjXiUB-S0-nWwJQyv_t7AXuG8icgsq_QMCtRVLtyj_tkn6qYTuudaoay23Ob_U3FAZUlownfD0COryiLEA0oOmuNwuIZBKv3BCR53TifNP5_A_OzKILczEJ76Y0MCAE-KySMdjioaXSa3uAghlXdIBQ&refId=MguAZT8HW1Im9IUaKSIy%2FQ%3D%3D&trackingId=K8wXu6EeexMXlla70usI7A%3D%3D&trk=flagship3_search_srp_jobs
Synopsys Inc,Senior Frontend/UI Software Developer - 47967BR,"Hyderabad, Telangana, India",3 school alumni work here,https://www.linkedin.com/jobs/view/3831991156/?eBP=CwEAAAGN_rUotUAmDRQ4dXIM2HAUrZ-sVHXDxDkqH7r96htR58hirNnKuGFjStXa0-8FI6qH775IKdgrtcFd1nCQV-61Q4Jq6cy_7nVSlVWyymJZ6e453mg459rDsnP6TYjEVYgGcDS2Yi2Ke_DoWzvFHi49IhYwk6mtpHlo6DQR3lR3ExW9MO8NiueesDz5wY8CUZWidBpwtCPeb7lKDpPC4SKrUtfr6f2eTbhjaSoyBZDaE_uPJhyHLoPHPl68x0Ne40vPOUiujL0YwMuc-ZptckeHI8-dFI8KjX6rQ_112fvEVRhQBDyA50Bnl15yQnqDDZ3MkuBdzailwxnhgizj6PRLlf_ODwW7EGXxUJgCf-wHpieexT5T4niuuC0V1QArsdAjxBK2Syr0d-2k5pwRqfyLgUTT1JI&refId=MguAZT8HW1Im9IUaKSIy%2FQ%3D%3D&trackingId=MzdYPQD%2F8ozTDlmFZM3MZw%3D%3D&trk=flagship3_search_srp_jobs
Genpact,Assistant Manager – SharePoint Developer-LIF014673,"Bengaluru, Karnataka, India (On-site)",6 school alumni work here,https://www.linkedin.com/jobs/view/3805087375/?eBP=CwEAAAGN_rUotRh7h01VQG9GxmXa3PqhcEviqNpq2qizToLzyPQRX6HG5z6cSPBbZ6iZB_wzAzCkgyNMepXZvdLR0u-F1KdPS1w1K056Sl5oUC2bFmYXE0_qax793yImGIVSURb77Qk5fiDrig7bvQETqRKeF_DHzwiQ8cxdoxZ7YmLyFN70LJXMQiAxo-fTIygq66CO23_29I8n-kwZum5M66dWwLp88rS3LIPeunV6DnQPPvSh8QE-6_oPK2PViYlZ-X_xbFxoNSlJBM93Avqr9O4aOy3m71_QlPAaUKsyGSOX2i_rAZFWh5tZsfC226mQy1fW7lys-G50sSlG-b5IjDA3afNbEy5Vy5wVDn6DRROBGiFX0x8CG06-yEcMULYFCJNTaLp-9YZ4VKv4nxklmvPCvPNBLv5LnA&refId=MguAZT8HW1Im9IUaKSIy%2FQ%3D%3D&trackingId=ZA0FulGQygXCoYKSeWfGOw%3D%3D&trk=flagship3_search_srp_jobs
BT Group,Software Engineering Specialist - Frontend Developer,"Delhi, India (Hybrid)",1 school alum works here,https://www.linkedin.com/jobs/view/3834695972/?eBP=CwEAAAGN_rUoteBVXhDxFZSAC3ezkl0LwrEdJy1N-OAJ60YCjpBn8mPXTLjq5avU_4Kgl_uuVadna6Px5_T0XncqDWFWpUEhxyd3rjsidbCjvg2lDsSkDeh7fwcPDOKKNXiuTqQcKXKgR-IA8yh6o0uBIn7A-IaQXVCBC9mp3gzXWiEgk5X0Lys75xxNe5JJblo0Uhy5e9wJWBqDrjWr1qXGyTcsD7jI0b0wB_fNhOahHu-pQN2H4Bkx5Ao4XWDzjfq74_1EW95hfATLtRhxu-oCRX3rif7YpcjmhRYVHfaYrdUNMN-RDv5lhqdLnj-GEo7QwaNQ_ZRx6R6dBUGNHz4e0xgAMXM9rtqvN6x90XkkoJkREpeYJvGxxhgxk8gsMmfhDAVOuToclqUKKcnCZodTlAsUQYPnCxk&refId=MguAZT8HW1Im9IUaKSIy%2FQ%3D%3D&trackingId=g2N33gdP6CccU4oPbkzM5A%3D%3D&trk=flagship3_search_srp_jobs
Cloudtronics,Web Designing,"Navi Mumbai, Maharashtra, India (Hybrid)",,https://www.linkedin.com/jobs/view/3818848069/?eBP=CwEAAAGN_rUotffq94nNmRAaUGLunIeQ2K9eoh2MnYF4Em-emodvyr1jhswZeDgY8Lnl00kNbmSRA4Q8fVI7mmKRRBoJiAY-IpWj_R4fLMwVNn1F1DPiiPZea3mhSpLOEMtjPeFIwMJiB0LroMeGOss1kDrEPLRQn7b9NfOxgm64TuElbDK-9IqVExv8RuHSLyMHH3rkWzdRSYi8IcksAZtEjVFdmo9rrUWQ1DyOEiriUkMyZLMQVsOzW9sMZSyFx1B8wI13snGjfOVmio7cKF5tigIiEHoK_nUR4rwIodYqIEYEJU-2ntO5zOIhM7L8ek02hDm4YkgNO41NDseiuilaGS_3R7YMCURD7re3YKcI0aPKjY9WhMW1D15qYKTjDpGsnRSlrdMhe_DEdnbLVBOMruqIEeJ_hR8AohXFSQNbinr5gQFEZy0k9skK8btx&refId=MguAZT8HW1Im9IUaKSIy%2FQ%3D%3D&trackingId=me35oHCUICA%2BQ10%2B3im8cw%3D%3D&trk=flagship3_search_srp_jobs
Tata Consultancy Services,Web Designing,"Hyderabad, Telangana, India (On-site)",9 connections work here,https://www.linkedin.com/jobs/view/3830956663/?eBP=CwEAAAGN_rUotR8Rmcw84-inkcnqrqNMdw65pmLYLVr_zvSL_nvWR21Dfnb4Ktv1UVFDeLY4cX2mV2NjE6UGzbUHZ12cX1mN9vnO4QcUcBPRcaY8kbMWCM9zCzHXi9N4KfNNSOkT2vQeeFrHNM04TjwKUyGqdQniCMnHO3oGLlpihH8BEo8gNt-_vn6d3h46OMPogQ1-IxvTBOm_fDP1cI0bKHnkQANXlKf_GjDc0t4qTcqLOUM-JdHKDgdTOfEwvwi67IWBAdFNJ4KTN3r7M15zb40d42MDujV7w4a4vQLjP8mCI8KjRwlV8_BB4Nf-PooEnpRIe0CkWvnU8MTLicNd5G7AmpS7WNNydXv2eXvGBG7BWZE8pvmZoaGFkXsYo5nD9ONSrwIaGXM0GSfKylcS3x6YMvYl4I0&refId=MguAZT8HW1Im9IUaKSIy%2FQ%3D%3D&trackingId=%2FwypoYoxB5UGjH6IsfulaA%3D%3D&trk=flagship3_search_srp_jobs
TELUS International,Web Designing,"Noida, Uttar Pradesh, India",Actively recruiting,https://www.linkedin.com/jobs/view/3835155595/?eBP=CwEAAAGN_rUotbKn80szIXvlTcauxAIc1d3ktyIJu65BFQwxw9KrhTB5fm2PuJqcBWRme4c1YDvpFlBS4VY5GFE30x_got5LI56J3oEyfiW4PFXzJPNZTl1pkpYYFdJFqQKuDzvR3mptmSj-RracMX3Z5nIEfEfMn9ZyzNehMAavPLmHQqG8GjPvWLCIvXgbEwZ0VLrY8MARut3dwyXSXAgSd__XXQKLBPn6zN1qG0ZguPun0uWVKvhHEB89qAoZzG6qqALZ7CtmxDeoJQUaLOvpoWPswyQKbEnOv7IyLlIomYzaCXboT-YRNVoEsNyetax_TpB_jMOYbFUAwR6PBdywAGmF-IM7VWUWccwffL1jWW3Nm_5qQLBJphjHpqJ3sKDVsNHaBZUDfDeKLT8zweYDJZONDQqv-jo&refId=MguAZT8HW1Im9IUaKSIy%2FQ%3D%3D&trackingId=SsTC22Oi0DTSBV3bTjCUPw%3D%3D&trk=flagship3_search_srp_jobs
Āroka,Web Designing,India (Remote),,https://www.linkedin.com/jobs/view/3816381526/?eBP=CwEAAAGN_rUotfU4VjBGexh8uVVoGQpUWKwOGPkXrfLEFofBrVfJLJFsUeIuSTq-LdSDmRR7GcOhPjJ1O_WnSVNl_vTrJ9qYp2jzcGdpbkQyrxmcNxO18LYE6z2sJ4IaM_xcwDqlCFv52l1Ce7j_Hm5FGsyaLFG3R2Emp8JgTNPUYytEfKJRiQ-nJ-O41To8waYdO7fsoTRHF9LVtQEhSutRaGYjEzrklecZ5aw4AWON3gZaqb2b0Hgk43tEMNBO1qkb9txeRo-39Q_GiUmrJGbZ80Bb1qBElPTcCqD6KY2_AeUs2jBNKY_TcZeJ9gMEDxrhZg7V7jKRmSM_qLUre28-5K4CNIJM95_ukvENxdNStnZtH3qyzcp-CDmJrJtNwpwGQZKKie7TS59dvUeyPQ&refId=MguAZT8HW1Im9IUaKSIy%2FQ%3D%3D&trackingId=hvJFJD6Ou0qgNjVvHD7MZg%3D%3D&trk=flagship3_search_srp_jobs
Miranj,Web Designing,India (Remote),Your profile matches this job,https://www.linkedin.com/jobs/view/3759037354/?eBP=CwEAAAGN_rUotQ-bziolSNl7x8NJaWvWUNmfx4gIElEt5bw_Dq65rk4cFhwL2qDyMb0OnqneQmG_NQJ_Den9jwqe7Ry4J3S3w2ZZZYGh2VMbY4TzFsTCEt4cXfawikahWeVGYR__ngINELjQI5bZ7Jr8q8uTbxq1vK4qQ5AtIOWhoZO_cIt5khKDXMaU096wCqBeg9ZZ6DXETyJ5RWTw5GBtk0XPYfn8eHRhfG9Ssp6cRx_e3-jdWcs2CKUSkIPbfk40Qf0pXBDk1PeSaIRxpdkGW8c78JsXEzQ8NF4rk6Yf6IiSzp6DF7TmDoFi5nDDjb6-SrR7ekxTO_wdYWgmBF5SBQrfflez6xee5qBM76DLLaxtXAV-d5ajmrIhI4ptUkZORmUrya-zdL4UzhzN8kznOkQzuP1z_mRDzECUB2DrSYWS44jYItwxlww-Vqwn4g&refId=MguAZT8HW1Im9IUaKSIy%2FQ%3D%3D&trackingId=p1QPlthtzTNUaw4NxkXLzA%3D%3D&trk=flagship3_search_srp_jobs
Brandconn Digital Pvt Ltd,Web Designing,India (Remote),Your profile matches this job,https://www.linkedin.com/jobs/view/3796397308/?eBP=CwEAAAGN_rUotsMZP8tJc1dBgtuIpaCfYbzA6jKc4l-YE4iQ8Rv7eAIqkicuaAkDU7tx9r_x8U3pLG0oCr1_3Mo4G3CCUqXuqypoRJmA4prflDPCkN0ZW5oyaTpaHqIv6Mqnbr_Z9l2aRIf4Bnj10S_T0dEMHR4qWuvP-HD3DwTavOsXEgezhCcdDn786Tjbzz3tFMQSK8LqwLM17xdo8yGnMmi8LqNaWmzEraeLxq-w5txEca3sfDHRgUwDmXA37OJBvbR_V5qBaj6mnIIGHnc0JTJvgnSyi9UYmQilhA9IQK5LyndukGb616Sf3ndbLX1FZR6zfOCua8cVoYBDTwvRka1ZtcojKMGb0Wi9uwuVmvp2nHqDoPByC-UDMggjqVz1kIYLBpEARCsqTtjxJw3VmEWQUsBr94m9Ahz2iIYUf8SLaDVtCIMdgM_7nUI&refId=MguAZT8HW1Im9IUaKSIy%2FQ%3D%3D&trackingId=8nVZB1s7BVb8EgZt9RtAuQ%3D%3D&trk=flagship3_search_srp_jobs
